Estado,Cidade,Total_de_mortes,Populacao_inicial,Populacao_final
AM,Parintins,358,115363,114273
AM,Pauini,22,19522,19426
AM,Presidente Figueiredo,111,37193,36279
AM,Rio Preto da Eva,85,34106,33347
AM,Santa Isabel do Rio Negro,54,25865,25156
AM,Santo Antônio do Içá,45,21243,21602
AM,Silves,22,9230,9171
AM,São Gabriel da Cachoeira,110,46303,45564
AM,São Paulo de Olivença,66,40073,39299
AM,São Sebastião do Uatumã,19,14352,14020
AM,Tabatinga,126,67182,65844
AM,Tapauá,24,17015,17156
AM,Tefé,200,59547,59849
AM,Tonantins,39,18897,18755
AM,Uarini,26,13690,13540
AM,Urucará,54,16130,16256
AM,Urucurituba,36,23585,23065
AP,Amapá,13,9187,9109
AP,Calçoene,14,11306,11117
AP,Cutias,7,6101,5983
AP,Ferreira Gomes,7,7967,7780
AP,Itaubal,3,5617,5503
AP,Laranjal do Jari,95,51362,50410
AP,Macapá,1500,512902,503327
AP,Mazagão,24,22053,21632
AP,Oiapoque,51,27906,27270
AP,Pedra Branca do Amapari,13,17067,16502
AP,Porto Grande,27,22452,21971
AP,Pracuúba,6,5246,5120
AP,Santana,201,123096,121364
AP,Serra do Navio,5,5488,5397
AP,Tartarugalzinho,14,17769,17315
AP,Vitória do Jari,28,16254,15931
BA,Abaré,11,20347,20086
BA,Abaíra,12,8710,8739
BA,Acajutiba,21,15187,15159
BA,Adustina,27,17126,17040
BA,Aiquara,12,4416,4446
BA,Alagoinhas,325,152327,151596
BA,Alcobaça,30,22490,22470
BA,Almadina,11,5366,5464
BA,Amargosa,57,37441,37241
BA,Amélia Rodrigues,51,25048,25102
BA,América Dourada,14,16090,16094
BA,Anagé,30,21607,22005
BA,Andaraí,10,13132,13143
BA,Andorinha,17,14503,14595
BA,Angical,20,13938,13977
BA,Anguera,2,11297,11221
BA,Antas,13,19479,19291
BA,Antônio Cardoso,11,11677,11683
BA,Antônio Gonçalves,10,11878,11798
BA,Aporá,19,17788,17731
BA,Apuarema,11,7302,7330
BA,Aracatu,18,13045,13135
BA,Araci,55,54648,54379
BA,Aramari,14,11461,11397
BA,Arataca,15,10961,11019
BA,Aratuípe,12,8837,8825
BA,Araçás,17,12208,12177
BA,Aurelino Leal,35,11299,11531
BA,Baianópolis,20,13929,13877
BA,Baixa Grande,19,20449,20468
BA,Banzaê,9,13240,13229
BA,Barra,66,53910,53578
BA,Barra da Estiva,33,20392,20598
BA,Barra do Choça,36,31209,31603
BA,Barra do Mendes,17,13833,13865
BA,Barra do Rocha,7,5612,5714
BA,Barreiras,332,156975,155439
BA,Barro Alto,14,15054,14931
BA,Barro Preto,12,5448,5591
BA,Barrocas,27,16105,15978
BA,Belmonte,26,23437,23328
BA,Belo Campo,18,17109,17211
BA,Biritinga,7,15984,15979
BA,Boa Nova,22,12329,12633
BA,Boa Vista do Tupim,11,18531,18576
BA,Bom Jesus da Lapa,98,69662,69148
BA,Bom Jesus da Serra,9,9823,9880
BA,Boninal,9,14446,14368
BA,Bonito,14,16884,16764
BA,Boquira,21,21497,21508
BA,Botuporã,5,10129,10211
BA,Brejolândia,11,10618,10557
BA,Brejões,12,14222,14295
BA,Brotas de Macaúbas,8,10130,10231
BA,Brumado,200,67335,67195
BA,Buerarema,47,18306,18349
BA,Buritirama,24,21276,21174
BA,Caatiba,15,6488,6758
BA,Cabaceiras do Paraguaçu,5,18911,18807
BA,Cachoeira,32,33567,33470
BA,Caculé,21,23291,23170
BA,Caetanos,11,14608,14542
BA,Caetité,43,51081,50975
BA,Cafarnaum,24,18513,18437
BA,Cairu,17,18427,18176
BA,Caldeirão Grande,6,13391,13327
BA,Camacan,88,32006,31988
BA,Camamu,58,35382,35316
BA,Camaçari,631,304302,299132
BA,Campo Alegre de Lourdes,37,28820,28798
BA,Campo Formoso,76,71487,71206
BA,Canarana,39,26325,26176
BA,Canavieiras,75,30906,31099
BA,Candeal,3,8181,8258
BA,Candeias,195,87458,87076
BA,Candiba,16,14368,14319
BA,Cansanção,39,34882,34834
BA,Canudos,17,16753,16668
BA,Canápolis,10,9703,9711
BA,Capela do Alto Alegre,18,11616,11637
BA,Capim Grosso,36,30862,30662
BA,Caravelas,16,22093,22016
BA,Caraíbas,6,8801,8951
BA,Cardeal da Silva,6,9346,9295
BA,Carinhanha,33,29070,29018
BA,Casa Nova,72,72545,71969
BA,Castro Alves,41,26318,26264
BA,Catolândia,1,3599,3577
BA,Catu,101,54970,54704
BA,Caturama,7,9316,9329
BA,Caém,7,9058,9213
BA,Central,18,17280,17266
BA,Chorrochó,13,11200,11177
BA,Cipó,15,17352,17300
BA,Coaraci,48,16549,16993
BA,Cocos,18,18807,18777
BA,Conceição da Feira,33,22762,22581
BA,Conceição do Almeida,28,17165,17247
BA,Conceição do Coité,46,67013,66612
BA,Conceição do Jacuípe,39,33398,33153
BA,Conde,17,26035,25837
BA,Condeúba,31,17178,17247
BA,Contendas do Sincorá,6,4045,4066
BA,Coração de Maria,22,22495,22605
BA,Cordeiros,6,8642,8614
BA,Coribe,17,14149,14194
BA,Coronel João Sá,18,15717,15895
BA,Correntina,49,32191,32137
BA,Cotegipe,23,13769,13782
BA,Cravolândia,2,5351,5349
BA,Cristópolis,10,13947,13910
BA,Crisópolis,16,21163,21103
BA,Cruz das Almas,70,63591,63239
BA,Curaçá,32,34886,34700
BA,Cândido Sales,53,25053,25189
BA,Cícero Dantas,47,32576,32515
BA,Dias d'Ávila,161,82432,81089
BA,Dom Basílio,16,12240,12199
BA,Dom Macedo Costa,7,4065,4058
BA,Dário Meira,20,10525,10710
BA,Elísio Medrado,9,8126,8122
BA,Encruzilhada,20,16446,17006
BA,Entre Rios,47,41901,41780
BA,Esplanada,35,37578,37237
BA,Euclides da Cunha,62,60858,60585
BA,Eunápolis,232,114396,113380
BA,Feira da Mata,6,5661,5665
BA,Feira de Santana,1074,619609,614872
BA,Filadélfia,30,16345,16377
BA,Firmino Alves,11,5629,5617
BA,Floresta Azul,19,10575,10629
BA,Formosa do Rio Preto,32,25857,25591
BA,Fátima,14,17845,17890
BA,Gandu,58,32596,32403
BA,Gavião,2,4440,4463
BA,Gentio do Ouro,12,11259,11233
BA,Glória,26,15234,15221
BA,Gongogi,18,6985,7128
BA,Governador Mangabeira,18,20762,20722
BA,Guajeru,5,6646,6937
BA,Guanambi,135,84928,84481
BA,Guaratinga,44,20700,20843
BA,Heliópolis,13,12987,13031
BA,Iaçu,42,24121,24305
BA,Ibiassucê,5,9031,9224
BA,Ibicaraí,64,21378,21689
BA,Ibicoara,11,19786,19571
BA,Ibicuí,28,16230,16198
BA,Ibipeba,13,18319,18211
BA,Ibipitanga,22,14947,14902
BA,Ibiquera,6,4046,4044
BA,Ibirapitanga,39,23404,23375
BA,Ibirapuã,18,8690,8637
BA,Ibirataia,42,14882,15312
BA,Ibitiara,11,16403,16339
BA,Ibititá,26,17080,17113
BA,Ibotirama,50,27003,26927
BA,Ichu,4,6220,6206
BA,Igaporã,24,15650,15640
BA,Igrapiúna,14,13091,13226
BA,Iguaí,39,26963,26916
BA,Ilhéus,579,159923,162327
BA,Importados/Indefinidos,304,0,0
BA,Inhambupe,43,40333,39926
BA,Ipecaetá,13,14354,14487
BA,Ipiaú,84,45922,45873
BA,Ipirá,68,59435,59595
BA,Ipupiara,6,9911,9865
BA,Irajuba,2,7279,7260
BA,Iramaia,15,8197,8537
BA,Iraquara,19,25478,25216
BA,Irará,29,29173,29034
BA,Irecê,155,73524,72967
BA,Itabela,72,30747,30584
BA,Itaberaba,151,64646,64489
BA,Itabuna,712,213685,213223
BA,Itacaré,27,28684,28296
BA,Itaeté,11,16110,16056
BA,Itagi,23,12242,12351
BA,Itagibá,29,14452,14579
BA,Itagimirim,15,6825,6869
BA,Itaguaçu da Bahia,8,14542,14429
BA,Itaju do Colônia,6,6596,6682
BA,Itajuípe,56,20398,20491
BA,Itamaraju,159,64455,64486
BA,Itamari,11,8003,8035
BA,Itambé,20,22754,23049
BA,Itanagra,8,6436,6441
BA,Itanhém,40,19316,19405
BA,Itaparica,38,22337,22228
BA,Itapebi,25,10215,10259
BA,Itapetinga,152,76795,76147
BA,Itapicuru,25,35883,35576
BA,Itapitanga,16,10298,10313
BA,Itapé,29,8526,8761
BA,Itaquara,9,8347,8319
BA,Itarantim,28,19843,19747
BA,Itatim,26,14539,14487
BA,Itiruçu,25,12528,12576
BA,Itiúba,39,36116,36089
BA,Itororó,34,20388,20382
BA,Ituaçu,26,19030,18962
BA,Ituberá,52,28740,28602
BA,Iuiu,12,11016,10994
BA,Jaborandi,10,8277,8385
BA,Jacaraci,18,14850,14842
BA,Jacobina,110,80635,80518
BA,Jaguaquara,65,54673,54423
BA,Jaguarari,50,33746,33570
BA,Jaguaripe,21,18981,18788
BA,Jandaíra,13,10726,10709
BA,Jequié,397,156126,155966
BA,Jeremoabo,47,40651,40463
BA,Jiquiriçá,27,14557,14537
BA,Jitaúna,30,10808,11166
BA,João Dourado,51,25402,25188
BA,Juazeiro,417,218162,216707
BA,Jucuruçu,11,8988,9126
BA,Jussara,11,15262,15284
BA,Jussari,11,5768,5833
BA,Jussiape,9,5976,6186
BA,Lafaiete Coutinho,6,3693,3724
BA,Lagoa Real,10,15770,15665
BA,Laje,33,24032,23840
BA,Lajedinho,1,3758,3783
BA,Lajedo do Tabocal,14,8577,8562
BA,Lajedão,8,3975,3955
BA,Lamarão,8,8191,8307
BA,Lapão,35,27274,27223
BA,Lauro de Freitas,534,201635,198440
BA,Lençóis,18,11499,11409
BA,Licínio de Almeida,10,12373,12388
BA,Livramento de Nossa Senhora,69,46062,45732
BA,Luís Eduardo Magalhães,152,90162,87519
BA,Macajuba,9,11332,11348
BA,Macarani,24,18909,18755
BA,Macaúbas,24,50161,49826
BA,Macururé,9,7787,7824
BA,Madre de Deus,47,21432,21093
BA,Maetinga,7,2764,3161
BA,Maiquinique,13,10206,10112
BA,Mairi,16,18602,18676
BA,Malhada,22,16861,16845
BA,Malhada de Pedras,9,8359,8393
BA,Manoel Vitorino,33,13087,13240
BA,Mansidão,8,13734,13643
BA,Maracás,73,20393,20834
BA,Maragogipe,49,44793,44677
BA,Maraú,19,20617,20570
BA,Marcionílio Souza,19,10380,10406
BA,Mascote,23,13717,13822
BA,Mata de São João,70,47126,46583
BA,Matina,9,12283,12201
BA,Medeiros Neto,59,22716,22688
BA,Miguel Calmon,33,25894,26023
BA,Milagres,7,10893,10950
BA,Mirangaba,9,18474,18338
BA,Mirante,8,8447,8641
BA,Monte Santo,64,49278,49418
BA,Morpará,14,8497,8519
BA,Morro do Chapéu,29,35440,35413
BA,Mortugaba,13,12052,12042
BA,Mucugê,11,8889,9062
BA,Mucuri,69,42251,41748
BA,Mulungu do Morro,12,10673,10889
BA,Mundo Novo,8,26970,26776
BA,Muniz Ferreira,3,7443,7422
BA,Muquém do São Francisco,8,11417,11348
BA,Muritiba,29,29410,29399
BA,Mutuípe,27,22282,22221
BA,Nazaré,53,28594,28525
BA,Nilo Peçanha,16,14079,13997
BA,Nordestina,30,13164,13130
BA,Nova Canaã,22,16472,16462
BA,Nova Fátima,5,7821,7812
BA,Nova Ibiá,22,6554,6591
BA,Nova Itarana,9,8279,8226
BA,Nova Redenção,4,9123,9118
BA,Nova Soure,27,26998,26947
BA,Nova Viçosa,51,43783,43376
BA,Novo Horizonte,10,12522,12385
BA,Novo Triunfo,8,15443,15440
BA,Olindina,24,28304,28229
BA,Oliveira dos Brejinhos,18,21810,21825
BA,Ouriçangas,10,8570,8564
BA,Ourolândia,15,17511,17451
BA,Palmas de Monte Alto,18,21796,21750
BA,Palmeiras,10,9071,9019
BA,Paramirim,20,21695,21607
BA,Paratinga,32,32141,32000
BA,Paripiranga,31,29058,28989
BA,Pau Brasil,25,9686,9831
BA,Paulo Afonso,238,118516,117782
BA,Pedro Alexandre,9,16682,16667
BA,Pedrão,3,7394,7347
BA,Piatã,30,16984,17123
BA,Pilão Arcado,23,35175,35048
BA,Pindaí,11,16285,16260
BA,Pindobaçu,31,20098,20150
BA,Pintadas,8,10394,10437
BA,Piraí do Norte,12,10036,10023
BA,Piripá,9,10475,10707
BA,Piritiba,15,24964,24755
BA,Planaltino,10,9370,9322
BA,Planalto,33,26426,26265
BA,Pojuca,52,39972,39519
BA,Ponto Novo,12,14819,14914
BA,Porto Seguro,246,150658,148686
BA,Potiraguá,12,6916,7224
BA,Poções,83,46879,46871
BA,Prado,58,28194,28174
BA,Presidente Dutra,26,15160,15142
BA,Presidente Jânio Quadros,13,12179,12338
BA,Presidente Tancredo Neves,41,28004,27719
BA,Pé de Serra,9,13556,13578
BA,Queimadas,44,25433,25439
BA,Quijingue,21,27626,27580
BA,Quixabeira,8,8956,8972
BA,Rafael Jambeiro,25,22633,22621
BA,Remanso,77,41170,41008
BA,Retirolândia,13,14495,14396
BA,Riacho de Santana,41,35593,35421
BA,Riachão das Neves,45,22334,22339
BA,Riachão do Jacuípe,49,33468,33436
BA,Ribeira do Amparo,9,14612,14592
BA,Ribeira do Pombal,72,53956,53807
BA,Ribeirão do Largo,10,5343,5812
BA,Rio Real,47,40976,40732
BA,Rio de Contas,7,12932,12989
BA,Rio do Antônio,17,15448,15371
BA,Rio do Pires,11,11663,11655
BA,Rodelas,7,9442,9331
BA,Ruy Barbosa,34,30857,30814
BA,Salinas da Margarida,21,15862,15667
BA,Salvador,8082,2886698,2872347
BA,Santa Brígida,21,14063,14213
BA,Santa Bárbara,24,20883,20791
BA,Santa Cruz Cabrália,35,27922,27778
BA,Santa Cruz da Vitória,9,6278,6315
BA,Santa Inês,12,10606,10631
BA,Santa Luzia,32,12449,12597
BA,Santa Maria da Vitória,63,39775,39845
BA,Santa Rita de Cássia,39,28481,28338
BA,Santa Teresinha,11,10464,10405
BA,Santaluz,52,37531,37348
BA,Santana,44,26705,26614
BA,Santanópolis,13,8966,8943
BA,Santo Amaro,89,60131,60069
BA,Santo Antônio de Jesus,169,102380,101512
BA,Santo Estêvão,66,53269,52850
BA,Sapeaçu,24,17409,17398
BA,Saubara,19,12105,12043
BA,Saúde,4,12943,12913
BA,Seabra,91,44234,44091
BA,Sebastião Laranjeiras,9,11512,11434
BA,Senhor do Bonfim,87,79424,79015
BA,Sento Sé,47,40989,40684
BA,Serra Dourada,17,17321,17386
BA,Serra Preta,20,14699,14878
BA,Serra do Ramalho,32,31416,31472
BA,Serrinha,102,81286,80861
BA,Serrolândia,15,13446,13397
BA,Simões Filho,238,135783,134377
BA,Sobradinho,61,23233,23191
BA,Souto Soares,22,17050,16979
BA,Sátiro Dias,15,17302,17273
BA,São Desidério,50,34266,33742
BA,São Domingos,12,9072,9058
BA,São Felipe,31,21080,21074
BA,São Francisco do Conde,69,40245,39802
BA,São Félix,10,14762,14740
BA,São Félix do Coribe,28,15468,15391
BA,São Gabriel,15,18789,18793
BA,São Gonçalo dos Campos,35,37942,37550
BA,São José da Vitória,8,5608,5657
BA,São José do Jacuípe,2,10505,10462
BA,São Miguel das Matas,8,11704,11675
BA,São Sebastião do Passé,94,44430,44300
BA,Sítio do Mato,10,13059,13012
BA,Sítio do Quinto,11,9701,9986
BA,Tabocas do Brejo Velho,11,12516,12518
BA,Tanhaçu,26,20393,20403
BA,Tanque Novo,14,17443,17366
BA,Tanquinho,17,7928,7918
BA,Taperoá,34,21253,21074
BA,Tapiramutá,6,16974,17010
BA,Teixeira de Freitas,318,162438,160487
BA,Teodoro Sampaio,8,7359,7425
BA,Teofilândia,21,22555,22518
BA,Teolândia,11,15022,14943
BA,Terra Nova,25,13025,13033
BA,Tremedal,17,16189,16394
BA,Tucano,64,50798,50687
BA,Uauá,57,24113,24240
BA,Ubaitaba,43,18847,19056
BA,Ubatã,50,27263,27035
BA,Ubaíra,30,19877,19895
BA,Uibaí,25,13891,13887
BA,Umburanas,10,19402,19222
BA,Una,46,18544,19002
BA,Urandi,9,16665,16658
BA,Uruçuca,74,20413,20519
BA,Utinga,17,19256,19178
BA,Valente,28,28800,28473
BA,Valença,144,97233,96562
BA,Varzedo,6,8785,8838
BA,Vera Cruz,79,43716,43223
BA,Vereda,19,6153,6205
BA,Vitória da Conquista,633,341128,338480
BA,Várzea Nova,11,12625,12697
BA,Várzea da Roça,10,14121,14104
BA,Várzea do Poço,5,9210,9170
BA,Wagner,9,9344,9345
BA,Wanderley,30,12180,12238
BA,Wenceslau Guimarães,31,20978,21101
BA,Xique-Xique,84,46523,46483
BA,Água Fria,13,17033,16970
BA,Érico Cardoso,5,10560,10610
CE,Abaiara,16,11853,11737
CE,Acarape,32,15036,14929
CE,Acaraú,112,63104,62641
CE,Acopiara,151,54481,54270
CE,Aiuaba,11,17493,17399
CE,Alcântaras,22,11781,11714
CE,Altaneira,25,7650,7586
CE,Alto Santo,35,17196,17146
CE,Amontada,57,43829,43452
CE,Antonina do Norte,26,7378,7353
CE,Apuiarés,25,14672,14600
CE,Aquiraz,94,80935,80271
CE,Aracati,166,74975,74547
CE,Aracoiaba,35,26535,26469
CE,Ararendá,22,10959,10935
CE,Araripe,23,21654,21600
